qualtrics_question_num,headline_summary,partisanship_diff,partisanship_dem,partisanship_rep,partisanship_combined,partisanship_baseline,likelihood_diff,likelihood_dem,likelihood_rep,likelihood_combined,sensational_diff,sensational_dem,sensational_rep,sensational_combined,impactful_diff,impactful_dem,impactful_rep,impactful_combined,familiar_diff,familiar_dem,familiar_rep,familiar_combined,sharing_diff,sharing_dem,sharing_rep,sharing_combined
1, “Blacks 4 Trump” Group Caught Using Blackface To Pretend They Have Black Members    -08-26-17-22-32.jpg,-0.29,2.63,2.92,2.775,0.725,-0.08,2.75,2.83,2.79,-1.08,4,5.08,4.54,-0.71,3.12,3.83,3.475,-0.8,1.91,2.71,2.31,-0.47,2.28,2.75,2.515
2, Biden Buys Film Rights To New ‘MAD’ Movie Just To Piss Off Trump    -08-26-00-30-46.jpg,-0.83,2.62,3.45,3.035,0.465,0.23,2.38,2.15,2.265,-0.14,4.1,4.24,4.17,0.05,2.69,2.64,2.665,-0.24,1.79,2.03,1.91,-0.18,2.34,2.52,2.43
3," Staring At Hard Times, Tucker Carlson May Be Forced To Sell Bow Tie Collection    -08-26-00-49-36.jpg",-0.16,2.77,2.93,2.85,0.65,0.81,2.63,1.82,2.225,-0.33,4.13,4.46,4.295,0.81,2.27,1.46,1.865,0.83,2.33,1.5,1.915,1.07,2.57,1.5,2.035
4, Steve Bannon Is Now Selling “Freedom Yogurt” Made Of White People’s Semen    -08-26-17-24-12.jpg,-0.18,2.92,3.1,3.01,0.49,0.21,2.56,2.35,2.455,-0.04,4.76,4.8,4.78,0.34,2.44,2.1,2.27,0.05,2,1.95,1.975,0.68,2.68,2,2.34
5, SUPREME COURT GRANTS BLACK MAN “40 ACRES OF LAND AND A MULE”    -08-26-17-20-53.jpg,0.54,2.95,2.41,2.68,0.82,0.33,2.63,2.3,2.465,0.03,3.81,3.78,3.795,0.23,2.56,2.33,2.445,-0.02,1.72,1.74,1.73,0.58,2.28,1.7,1.99
6, Trump Is Suing His Grandchildren For Violating NDA’s He Made Them Sign As Infants    -08-26-17-29-37.jpg,0,2.33,2.33,2.33,1.17,0.79,2.6,1.81,2.205,-0.47,3.97,4.44,4.205,0.89,2.37,1.48,1.925,-0.02,1.5,1.52,1.51,0.43,2.1,1.67,1.885
7, Trump Orders Americans To Stop Eating Chinese Food    -08-26-01-07-25.jpg,0.86,3.39,2.53,2.96,0.54,0.65,2.36,1.71,2.035,-1.07,4.28,5.35,4.815,-0.35,1.94,2.29,2.115,0.03,1.44,1.41,1.425,0.62,1.86,1.24,1.55
8, Trump Routinely Forced Staffers To Shred And Eat White House Documents    -08-26-17-35-30.jpg,-0.37,2.22,2.59,2.405,1.095,0.81,2.5,1.69,2.095,-0.94,3.94,4.88,4.41,0.87,3.28,2.41,2.845,-0.03,1.69,1.72,1.705,0.36,2.14,1.78,1.96
9, Trump Threatens To Sue Founding Fathers    -08-26-00-46-37.jpg,-0.29,2.71,3,2.855,0.645,0.62,2.94,2.32,2.63,-0.59,4.44,5.03,4.735,0.77,3.12,2.35,2.735,0.48,2.38,1.9,2.14,0.65,2.91,2.26,2.585
10, Trump Voter Wants Taco Bell Shut Down For ‘Being Too Mexican’    -08-26-00-31-55.jpg,-0.02,3.04,3.06,3.05,0.45,0.75,2.75,2,2.375,-0.54,3.79,4.33,4.06,0.73,2.43,1.7,2.065,0.67,2,1.33,1.665,0.36,2.36,2,2.18
