congruency,veracity,ano_true_false_unsure,said_yes,prop_yes,ResponseId,Group,Condition
congruent,False,false,4,0.5,R_1nNsPh4zSeCYHvZ,Belief,Control
congruent,False,unsure,2,1.0,R_1nNsPh4zSeCYHvZ,Belief,Control
congruent,True,false,1,0.5,R_1nNsPh4zSeCYHvZ,Belief,Control
congruent,True,true,3,1.0,R_1nNsPh4zSeCYHvZ,Belief,Control
congruent,True,unsure,2,0.4,R_1nNsPh4zSeCYHvZ,Belief,Control
incongruent,False,false,1,0.1,R_1nNsPh4zSeCYHvZ,Belief,Control
incongruent,True,false,2,1.0,R_1nNsPh4zSeCYHvZ,Belief,Control
incongruent,True,unsure,5,0.625,R_1nNsPh4zSeCYHvZ,Belief,Control
congruent,False,false,0,0.0,R_bHowuWIDiuGMRhL,Share,Optional
congruent,False,unsure,0,0.0,R_bHowuWIDiuGMRhL,Share,Optional
congruent,True,false,0,0.0,R_bHowuWIDiuGMRhL,Share,Optional
congruent,True,true,0,0.0,R_bHowuWIDiuGMRhL,Share,Optional
congruent,True,unsure,4,0.8,R_bHowuWIDiuGMRhL,Share,Optional
incongruent,False,false,0,0.0,R_bHowuWIDiuGMRhL,Share,Optional
incongruent,True,false,0,0.0,R_bHowuWIDiuGMRhL,Share,Optional
incongruent,True,unsure,1,0.125,R_bHowuWIDiuGMRhL,Share,Optional
congruent,False,false,4,0.4,R_2xP1PsS7rtelgqh,Share,Forced
congruent,True,false,2,1.0,R_2xP1PsS7rtelgqh,Share,Forced
congruent,True,unsure,4,0.5,R_2xP1PsS7rtelgqh,Share,Forced
incongruent,False,false,0,0.0,R_2xP1PsS7rtelgqh,Share,Forced
incongruent,False,unsure,0,0.0,R_2xP1PsS7rtelgqh,Share,Forced
incongruent,True,false,1,0.5,R_2xP1PsS7rtelgqh,Share,Forced
incongruent,True,true,0,0.0,R_2xP1PsS7rtelgqh,Share,Forced
incongruent,True,unsure,1,0.2,R_2xP1PsS7rtelgqh,Share,Forced
congruent,False,false,3,0.375,R_3D6pEwmoxySlmiy,Belief,Control
congruent,False,unsure,0,0.0,R_3D6pEwmoxySlmiy,Belief,Control
congruent,True,false,2,1.0,R_3D6pEwmoxySlmiy,Belief,Control
congruent,True,true,3,1.0,R_3D6pEwmoxySlmiy,Belief,Control
congruent,True,unsure,5,1.0,R_3D6pEwmoxySlmiy,Belief,Control
incongruent,False,false,1,0.1,R_3D6pEwmoxySlmiy,Belief,Control
incongruent,True,false,2,1.0,R_3D6pEwmoxySlmiy,Belief,Control
incongruent,True,unsure,8,1.0,R_3D6pEwmoxySlmiy,Belief,Control
congruent,False,false,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
congruent,False,unsure,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
congruent,True,false,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
congruent,True,true,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
congruent,True,unsure,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
incongruent,False,false,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
incongruent,True,false,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
incongruent,True,unsure,0,0.0,R_TgXyvwbuuhA8Git,Share,Control
congruent,False,false,0,0.0,R_29aAS8J1aEHAW4C,Share,Forced
congruent,True,false,0,0.0,R_29aAS8J1aEHAW4C,Share,Forced
congruent,True,unsure,3,0.375,R_29aAS8J1aEHAW4C,Share,Forced
incongruent,False,false,0,0.0,R_29aAS8J1aEHAW4C,Share,Forced
incongruent,False,unsure,1,0.5,R_29aAS8J1aEHAW4C,Share,Forced
incongruent,True,false,0,0.0,R_29aAS8J1aEHAW4C,Share,Forced
incongruent,True,true,0,0.0,R_29aAS8J1aEHAW4C,Share,Forced
incongruent,True,unsure,1,0.2,R_29aAS8J1aEHAW4C,Share,Forced
congruent,False,false,10,1.0,R_AmuInA3p8q54tUd,Belief,Forced
congruent,True,false,2,1.0,R_AmuInA3p8q54tUd,Belief,Forced
congruent,True,unsure,8,1.0,R_AmuInA3p8q54tUd,Belief,Forced
incongruent,False,false,8,1.0,R_AmuInA3p8q54tUd,Belief,Forced
incongruent,False,unsure,2,1.0,R_AmuInA3p8q54tUd,Belief,Forced
incongruent,True,false,2,1.0,R_AmuInA3p8q54tUd,Belief,Forced
incongruent,True,true,3,1.0,R_AmuInA3p8q54tUd,Belief,Forced
incongruent,True,unsure,5,1.0,R_AmuInA3p8q54tUd,Belief,Forced
congruent,False,false,3,0.375,R_25uAyaI4nAjasQI,Belief,Forced
congruent,False,unsure,1,0.5,R_25uAyaI4nAjasQI,Belief,Forced
congruent,True,false,1,0.5,R_25uAyaI4nAjasQI,Belief,Forced
