Group,Condition,congruency,veracity,ano_true_false_unsure,mean,ci
Belief,Control,congruent,False,false,0.3258620689655172,0.046175915948275886
Belief,Control,congruent,False,unsure,0.41228070175438597,0.0767543859649123
Belief,Control,congruent,True,false,0.709051724137931,0.04525862068965514
Belief,Control,congruent,True,true,0.8157894736842105,0.05409356725146197
Belief,Control,congruent,True,unsure,0.7395474137931034,0.034862607758620656
Belief,Control,incongruent,False,false,0.26939655172413796,0.04676858836206893
Belief,Control,incongruent,False,unsure,0.2457627118644068,0.07203389830508473
Belief,Control,incongruent,True,false,0.6293103448275862,0.051724137931034475
Belief,Control,incongruent,True,true,0.7062146892655367,0.053707627118643964
Belief,Control,incongruent,True,unsure,0.6639008620689656,0.035940193965517286
Belief,Forced,congruent,False,false,0.33945147679324894,0.04768196202531644
Belief,Forced,congruent,False,unsure,0.484,0.07000000000000003
Belief,Forced,congruent,True,false,0.5358649789029536,0.05379746835443039
Belief,Forced,congruent,True,true,0.808,0.04666666666666669
Belief,Forced,congruent,True,unsure,0.7184599156118143,0.03359704641350214
Belief,Forced,incongruent,False,false,0.30537974683544306,0.04936840717299576
Belief,Forced,incongruent,False,unsure,0.35267857142857145,0.07142857142857142
Belief,Forced,incongruent,True,false,0.5337552742616034,0.052742616033755296
Belief,Forced,incongruent,True,true,0.7946428571428571,0.04910714285714285
Belief,Forced,incongruent,True,unsure,0.6675105485232067,0.03465189873417723
Belief,Optional,congruent,False,false,0.304,0.044499999999999984
Belief,Optional,congruent,False,unsure,0.44360902255639095,0.06954887218045114
Belief,Optional,congruent,True,false,0.55,0.05199999999999999
Belief,Optional,congruent,True,true,0.7969924812030075,0.048872180451127845
Belief,Optional,congruent,True,unsure,0.7243999999999999,0.03450375
Belief,Optional,incongruent,False,false,0.2712,0.04610124999999998
Belief,Optional,incongruent,False,unsure,0.32051282051282054,0.07478632478632477
Belief,Optional,incongruent,True,false,0.556,0.05199999999999999
Belief,Optional,incongruent,True,true,0.8176638176638177,0.04558404558404566
Belief,Optional,incongruent,True,unsure,0.6526000000000001,0.035051250000000034
Share,Control,congruent,False,false,0.3964859437751004,0.046587600401606394
Share,Control,congruent,False,unsure,0.38028169014084506,0.073943661971831
Share,Control,congruent,True,false,0.463855421686747,0.054216867469879526
Share,Control,congruent,True,true,0.46713615023474175,0.06572769953051641
Share,Control,congruent,True,unsure,0.5167670682730924,0.04709086345381522
Share,Control,incongruent,False,false,0.338855421686747,0.04754016064257027
Share,Control,incongruent,False,unsure,0.3130841121495327,0.0794392523364486
Share,Control,incongruent,True,false,0.40763052208835343,0.05321285140562251
Share,Control,incongruent,True,true,0.3644859813084112,0.07476635514018692
Share,Control,incongruent,True,unsure,0.4313253012048193,0.048143825301204785
Share,Forced,congruent,False,false,0.4342,0.050751250000000026
Share,Forced,congruent,False,unsure,0.4888888888888889,0.0740740740740741
Share,Forced,congruent,True,false,0.454,0.05499999999999999
Share,Forced,congruent,True,true,0.5679012345679013,0.07040123456790079
Share,Forced,congruent,True,unsure,0.5278999999999999,0.04920125
Share,Forced,incongruent,False,false,0.3941,0.05235749999999992
Share,Forced,incongruent,False,unsure,0.3739130434782609,0.08043478260869563
Share,Forced,incongruent,True,false,0.436,0.05499999999999999
Share,Forced,incongruent,True,true,0.4405797101449275,0.07971014492753623
Share,Forced,incongruent,True,unsure,0.49639999999999995,0.04910249999999999
Share,Optional,congruent,False,false,0.3631889763779528,0.05093749999999997
Share,Optional,congruent,False,unsure,0.4338235294117647,0.07352941176470587
Share,Optional,congruent,True,false,0.38976377952755903,0.05610236220472439
Share,Optional,congruent,True,true,0.4901960784313726,0.07230392156862744
Share,Optional,congruent,True,unsure,0.475492125984252,0.05000123031496059
Share,Optional,incongruent,False,false,0.35698818897637796,0.05187130905511811
Share,Optional,incongruent,False,unsure,0.326271186440678,0.0805084745762712
Share,Optional,incongruent,True,false,0.3799212598425197,0.055118110236220486
Share,Optional,incongruent,True,true,0.43785310734463273,0.07627118644067796
Share,Optional,incongruent,True,unsure,0.42775590551181103,0.04970718503937005
