Group,Condition,ResponseId,prop_yes_False,prop_yes_True,discernment
Belief,Control,R_01HqgwHPHkEBhWp,0.0,0.75,0.75
Belief,Control,R_07cyYzSmZ7T2uhH,1.0,1.0,0.0
Belief,Control,R_07hoVlJZGdyehtD,0.1,0.65,0.55
Belief,Control,R_0iza8FRnmBsuDrH,0.0,0.75,0.75
Belief,Control,R_10r6XrOsUXVVlif,0.05,0.3,0.25
Belief,Control,R_11XaduXrrKFkkU0,0.0,0.05,0.05
Belief,Control,R_12EioXD32f3uOie,0.0,0.2,0.2
Belief,Control,R_12FSeEuG3PRnJ1b,1.0,1.0,0.0
Belief,Control,R_1C1jrbn17wODhB7,0.0,0.95,0.95
Belief,Control,R_1C8YT6j8jAtuNSu,0.05,0.8,0.75
Belief,Control,R_1CkImFWqnYmdCPT,0.05,0.9,0.85
Belief,Control,R_1EXJE6z9iZyfVXH,0.1,0.8,0.7000000000000001
Belief,Control,R_1FDGeypx1FCXwXb,0.65,0.55,-0.09999999999999998
Belief,Control,R_1FPM82bSm1rq8lR,0.3,0.65,0.35000000000000003
Belief,Control,R_1FaWZkNMKOzN5zR,0.0,0.95,0.95
Belief,Control,R_1GPusvObJ6srXwf,0.75,0.7,-0.050000000000000044
Belief,Control,R_1GUjgK8sNcIfIkr,0.05,0.3,0.25
Belief,Control,R_1IEPPcAy4tvj5Dq,1.0,1.0,0.0
Belief,Control,R_1KcBTQ8jPaaVN12,0.1,0.85,0.75
Belief,Control,R_1KiK472sbg1Ln2b,0.1,0.65,0.55
Belief,Control,R_1KvjdEAJCfWVHFp,0.75,0.75,0.0
Belief,Control,R_1LOGm44RHBUL4iz,0.0,0.4,0.4
Belief,Control,R_1LpNRLqpCxi1v6l,0.85,0.8,-0.04999999999999993
Belief,Control,R_1NrlQzDJAIXnwa1,1.0,1.0,0.0
Belief,Control,R_1Nx2T0AYHlwCqZO,0.0,1.0,1.0
Belief,Control,R_1NxHFWLYZ9W37p2,1.0,1.0,0.0
Belief,Control,R_1OVQrriNwDlLQmM,0.0,0.25,0.25
Belief,Control,R_1OvJJNLCKN3vCra,0.1,0.45,0.35
Belief,Control,R_1P5CzONVuiPUYja,0.25,0.8,0.55
Belief,Control,R_1Q6hLNZNve7SAlM,0.1,0.6,0.5
Belief,Control,R_1QnrE9BlWDX49Jy,0.2,0.6,0.39999999999999997
Belief,Control,R_1dGZ73vHLPWqps0,0.3,0.65,0.35000000000000003
Belief,Control,R_1dgdwrHmWpdesqm,0.5,0.65,0.15000000000000002
Belief,Control,R_1dmHIC4Oj18agnp,0.05,0.8,0.75
Belief,Control,R_1fjumgAMeFjME1E,0.05,0.55,0.5
Belief,Control,R_1fkfzoRNJ2HDGHJ,0.2,0.9,0.7
Belief,Control,R_1gNKzQwRkY5AzPG,0.1,0.4,0.30000000000000004
Belief,Control,R_1ghzJ9aBG8cPUwR,0.5,0.6,0.09999999999999998
Belief,Control,R_1gk0u95D6mbkbKj,0.25,0.35,0.09999999999999998
Belief,Control,R_1i4Ekwq60ry1jME,0.0,0.7,0.7
Belief,Control,R_1jJKrzMFQPThqB3,0.5,0.75,0.25
Belief,Control,R_1jT8TeVbMkplX4N,0.25,0.45,0.2
Belief,Control,R_1jxNXBP4Brd5ccr,0.0,0.95,0.95
Belief,Control,R_1kHbUgjq930KI4n,0.1,0.65,0.55
Belief,Control,R_1lhLQwzqHxu5Kph,0.1,0.75,0.65
Belief,Control,R_1ln0SAq3JiSAvfE,0.05,0.2,0.15000000000000002
Belief,Control,R_1mmzVjrAPFLtnO7,1.0,1.0,0.0
Belief,Control,R_1nNsPh4zSeCYHvZ,0.35,0.65,0.30000000000000004
Belief,Control,R_1nZRuk2LsqSinYy,0.3,0.5,0.2
Belief,Control,R_1o5uM4oasvOcw9J,1.0,1.0,0.0
Belief,Control,R_1od9u0QRDSwgc4f,0.0,0.2,0.2
Belief,Control,R_1pDSuBJzeJwoIeg,0.0,0.4,0.4
Belief,Control,R_1pG773ryIyQzuST,0.1,0.45,0.35
Belief,Control,R_1pGvYF3gLcfPPCr,0.1,0.8,0.7000000000000001
Belief,Control,R_1pM2kRcKC6iFUmW,0.1,0.7,0.6
Belief,Control,R_1pROJZyu82HKhU0,0.15,0.15,0.0
Belief,Control,R_1pSBjbRQYVml2Oo,0.0,0.85,0.85
Belief,Control,R_1pXY4nskW9q1bNR,0.1,0.7,0.6
Belief,Control,R_215kVsDiCDWVI7Q,0.05,0.6,0.5499999999999999
Belief,Control,R_21bnFr1OMqVjswK,0.55,0.85,0.29999999999999993
Belief,Control,R_23a6obtoPXqMkAz,0.5,0.7,0.19999999999999996
Belief,Control,R_24q08ta1P15Z4Ax,0.05,0.9,0.85
Belief,Control,R_24usWPn4b41hndn,0.85,0.95,0.09999999999999998
Belief,Control,R_26a6N6L2oT6c2zp,0.85,0.65,-0.19999999999999996
