Group,Condition,ResponseId,veracity,num_yes,prop_yes
Belief,Control,R_01HqgwHPHkEBhWp,False,0,0.0
Belief,Control,R_01HqgwHPHkEBhWp,True,15,0.75
Belief,Control,R_07cyYzSmZ7T2uhH,False,20,1.0
Belief,Control,R_07cyYzSmZ7T2uhH,True,20,1.0
Belief,Control,R_07hoVlJZGdyehtD,False,2,0.1
Belief,Control,R_07hoVlJZGdyehtD,True,13,0.65
Belief,Control,R_0iza8FRnmBsuDrH,False,0,0.0
Belief,Control,R_0iza8FRnmBsuDrH,True,15,0.75
Belief,Control,R_10r6XrOsUXVVlif,False,1,0.05
Belief,Control,R_10r6XrOsUXVVlif,True,6,0.3
Belief,Control,R_11XaduXrrKFkkU0,False,0,0.0
Belief,Control,R_11XaduXrrKFkkU0,True,1,0.05
Belief,Control,R_12EioXD32f3uOie,False,0,0.0
Belief,Control,R_12EioXD32f3uOie,True,4,0.2
Belief,Control,R_12FSeEuG3PRnJ1b,False,20,1.0
Belief,Control,R_12FSeEuG3PRnJ1b,True,20,1.0
Belief,Control,R_1C1jrbn17wODhB7,False,0,0.0
Belief,Control,R_1C1jrbn17wODhB7,True,19,0.95
Belief,Control,R_1C8YT6j8jAtuNSu,False,1,0.05
Belief,Control,R_1C8YT6j8jAtuNSu,True,16,0.8
Belief,Control,R_1CkImFWqnYmdCPT,False,1,0.05
Belief,Control,R_1CkImFWqnYmdCPT,True,18,0.9
Belief,Control,R_1EXJE6z9iZyfVXH,False,2,0.1
Belief,Control,R_1EXJE6z9iZyfVXH,True,16,0.8
Belief,Control,R_1FDGeypx1FCXwXb,False,13,0.65
Belief,Control,R_1FDGeypx1FCXwXb,True,11,0.55
Belief,Control,R_1FPM82bSm1rq8lR,False,6,0.3
Belief,Control,R_1FPM82bSm1rq8lR,True,13,0.65
Belief,Control,R_1FaWZkNMKOzN5zR,False,0,0.0
Belief,Control,R_1FaWZkNMKOzN5zR,True,19,0.95
Belief,Control,R_1GPusvObJ6srXwf,False,15,0.75
Belief,Control,R_1GPusvObJ6srXwf,True,14,0.7
Belief,Control,R_1GUjgK8sNcIfIkr,False,1,0.05
Belief,Control,R_1GUjgK8sNcIfIkr,True,6,0.3
Belief,Control,R_1IEPPcAy4tvj5Dq,False,20,1.0
Belief,Control,R_1IEPPcAy4tvj5Dq,True,20,1.0
Belief,Control,R_1KcBTQ8jPaaVN12,False,2,0.1
Belief,Control,R_1KcBTQ8jPaaVN12,True,17,0.85
Belief,Control,R_1KiK472sbg1Ln2b,False,2,0.1
Belief,Control,R_1KiK472sbg1Ln2b,True,13,0.65
Belief,Control,R_1KvjdEAJCfWVHFp,False,15,0.75
Belief,Control,R_1KvjdEAJCfWVHFp,True,15,0.75
Belief,Control,R_1LOGm44RHBUL4iz,False,0,0.0
Belief,Control,R_1LOGm44RHBUL4iz,True,8,0.4
Belief,Control,R_1LpNRLqpCxi1v6l,False,17,0.85
Belief,Control,R_1LpNRLqpCxi1v6l,True,16,0.8
Belief,Control,R_1NrlQzDJAIXnwa1,False,20,1.0
Belief,Control,R_1NrlQzDJAIXnwa1,True,20,1.0
Belief,Control,R_1Nx2T0AYHlwCqZO,False,0,0.0
Belief,Control,R_1Nx2T0AYHlwCqZO,True,20,1.0
Belief,Control,R_1NxHFWLYZ9W37p2,False,20,1.0
Belief,Control,R_1NxHFWLYZ9W37p2,True,20,1.0
Belief,Control,R_1OVQrriNwDlLQmM,False,0,0.0
Belief,Control,R_1OVQrriNwDlLQmM,True,5,0.25
Belief,Control,R_1OvJJNLCKN3vCra,False,2,0.1
Belief,Control,R_1OvJJNLCKN3vCra,True,9,0.45
Belief,Control,R_1P5CzONVuiPUYja,False,5,0.25
Belief,Control,R_1P5CzONVuiPUYja,True,16,0.8
