Group,Condition,ResponseId,v_split_by_cgpt,num_yes,prop_yes,ground_truth,cGPT_thinks
Belief,Control,R_01HqgwHPHkEBhWp,False_False,0,0.0,False,False
Belief,Control,R_01HqgwHPHkEBhWp,False_Unsure,0,0.0,False,Unsure
Belief,Control,R_01HqgwHPHkEBhWp,True_False,3,0.75,True,False
Belief,Control,R_01HqgwHPHkEBhWp,True_True,3,1.0,True,True
Belief,Control,R_01HqgwHPHkEBhWp,True_Unsure,9,0.6923076923076923,True,Unsure
Belief,Control,R_07cyYzSmZ7T2uhH,False_False,18,1.0,False,False
Belief,Control,R_07cyYzSmZ7T2uhH,False_Unsure,2,1.0,False,Unsure
Belief,Control,R_07cyYzSmZ7T2uhH,True_False,4,1.0,True,False
Belief,Control,R_07cyYzSmZ7T2uhH,True_True,3,1.0,True,True
Belief,Control,R_07cyYzSmZ7T2uhH,True_Unsure,13,1.0,True,Unsure
Belief,Control,R_07hoVlJZGdyehtD,False_False,2,0.1111111111111111,False,False
Belief,Control,R_07hoVlJZGdyehtD,False_Unsure,0,0.0,False,Unsure
Belief,Control,R_07hoVlJZGdyehtD,True_False,3,0.75,True,False
Belief,Control,R_07hoVlJZGdyehtD,True_True,2,0.6666666666666666,True,True
Belief,Control,R_07hoVlJZGdyehtD,True_Unsure,8,0.6153846153846154,True,Unsure
Belief,Control,R_0iza8FRnmBsuDrH,False_False,0,0.0,False,False
Belief,Control,R_0iza8FRnmBsuDrH,False_Unsure,0,0.0,False,Unsure
Belief,Control,R_0iza8FRnmBsuDrH,True_False,1,0.25,True,False
Belief,Control,R_0iza8FRnmBsuDrH,True_True,2,0.6666666666666666,True,True
Belief,Control,R_0iza8FRnmBsuDrH,True_Unsure,12,0.9230769230769231,True,Unsure
Belief,Control,R_10r6XrOsUXVVlif,False_False,1,0.05555555555555555,False,False
Belief,Control,R_10r6XrOsUXVVlif,False_Unsure,0,0.0,False,Unsure
Belief,Control,R_10r6XrOsUXVVlif,True_False,2,0.5,True,False
Belief,Control,R_10r6XrOsUXVVlif,True_True,1,0.3333333333333333,True,True
Belief,Control,R_10r6XrOsUXVVlif,True_Unsure,3,0.23076923076923078,True,Unsure
Belief,Control,R_11XaduXrrKFkkU0,False_False,0,0.0,False,False
Belief,Control,R_11XaduXrrKFkkU0,False_Unsure,0,0.0,False,Unsure
Belief,Control,R_11XaduXrrKFkkU0,True_False,0,0.0,True,False
Belief,Control,R_11XaduXrrKFkkU0,True_True,0,0.0,True,True
Belief,Control,R_11XaduXrrKFkkU0,True_Unsure,1,0.07692307692307693,True,Unsure
