Group,ResponseId,option_cond,num_False,num_True,num_yes_False,num_yes_True,prop_yes_False,prop_yes_True,w_True,w_False
Belief,R_0Hrx74YI9V7oyxH,Opt_in,20.0,20.0,20.0,20.0,1.0,1.0,0.006682258603407952,0.007598784194528876
Belief,R_0Hrx74YI9V7oyxH,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_0ceMY7BosF4yFEt,Opt_in,7.0,6.0,0.0,4.0,0.0,0.6666666666666666,0.0020046775810223854,0.0026595744680851063
Belief,R_0ceMY7BosF4yFEt,Opt_out,13.0,14.0,3.0,13.0,0.23076923076923078,0.9285714285714286,0.006286484059272564,0.005023183925811438
Belief,R_0p23xuWK8kfIOI1,Opt_in,8.0,9.0,5.0,7.0,0.625,0.7777777777777778,0.003007016371533578,0.00303951367781155
Belief,R_0p23xuWK8kfIOI1,Opt_out,12.0,11.0,11.0,11.0,0.9166666666666666,1.0,0.004939380332285586,0.00463678516228748
Belief,R_0vLoFjkLH0gaAsV,Opt_in,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_0vLoFjkLH0gaAsV,Opt_out,20.0,20.0,3.0,15.0,0.15,0.75,0.00898069151324652,0.0077279752704791345
Belief,R_10pi4sTY23HIz4P,Opt_in,2.0,10.0,0.0,7.0,0.0,0.7,0.003341129301703976,0.0007598784194528875
Belief,R_10pi4sTY23HIz4P,Opt_out,18.0,10.0,0.0,9.0,0.0,0.9,0.00449034575662326,0.006955177743431221
Belief,R_10u9xVH0Egx6755,Opt_in,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_10u9xVH0Egx6755,Opt_out,20.0,20.0,0.0,16.0,0.0,0.8,0.00898069151324652,0.0077279752704791345
Belief,R_125Zkk4hc65bqQR,Opt_in,15.0,9.0,2.0,7.0,0.13333333333333333,0.7777777777777778,0.003007016371533578,0.0056990881458966565
Belief,R_125Zkk4hc65bqQR,Opt_out,5.0,11.0,0.0,11.0,0.0,1.0,0.004939380332285586,0.0019319938176197836
Belief,R_1CBIBuAje6hZpOK,Opt_in,20.0,20.0,0.0,5.0,0.0,0.25,0.006682258603407952,0.007598784194528876
Belief,R_1CBIBuAje6hZpOK,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1Ca7fGwfppPm8Cm,Opt_in,15.0,16.0,5.0,14.0,0.3333333333333333,0.875,0.0053458068827263614,0.0056990881458966565
Belief,R_1Ca7fGwfppPm8Cm,Opt_out,5.0,4.0,3.0,1.0,0.6,0.25,0.001796138302649304,0.0019319938176197836
Belief,R_1CvBpl1mMIgRe4m,Opt_in,18.0,19.0,0.0,12.0,0.0,0.631578947368421,0.006348145673237555,0.006838905775075988
Belief,R_1CvBpl1mMIgRe4m,Opt_out,2.0,1.0,1.0,1.0,0.5,1.0,0.000449034575662326,0.0007727975270479134
Belief,R_1Dw350aE0wDstGV,Opt_in,11.0,12.0,7.0,8.0,0.6363636363636364,0.6666666666666666,0.004009355162044771,0.004179331306990881
Belief,R_1Dw350aE0wDstGV,Opt_out,9.0,8.0,1.0,2.0,0.1111111111111111,0.25,0.003592276605298608,0.0034775888717156105
Belief,R_1E4KseAVFnrtiTL,Opt_in,1.0,2.0,0.0,1.0,0.0,0.5,0.0006682258603407952,0.00037993920972644377
Belief,R_1E4KseAVFnrtiTL,Opt_out,19.0,18.0,1.0,18.0,0.05263157894736842,1.0,0.008082622361921869,0.007341576506955177
Belief,R_1E4NUVuXGs92kjs,Opt_in,20.0,20.0,1.0,9.0,0.05,0.45,0.006682258603407952,0.007598784194528876
Belief,R_1E4NUVuXGs92kjs,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1FL3s3C52glwreE,Opt_in,12.0,11.0,5.0,5.0,0.4166666666666667,0.45454545454545453,0.0036752422318743734,0.004559270516717325
Belief,R_1FL3s3C52glwreE,Opt_out,8.0,9.0,3.0,6.0,0.375,0.6666666666666666,0.004041311180960934,0.0030911901081916537
Belief,R_1Fks3fj8fpk2xRu,Opt_in,0.0,1.0,0.0,1.0,,1.0,0.0003341129301703976,0.0
Belief,R_1Fks3fj8fpk2xRu,Opt_out,20.0,19.0,1.0,5.0,0.05,0.2631578947368421,0.008531656937584195,0.0077279752704791345
Belief,R_1GBt8nuywr6Il2y,Opt_in,7.0,12.0,1.0,7.0,0.14285714285714285,0.5833333333333334,0.004009355162044771,0.0026595744680851063
Belief,R_1GBt8nuywr6Il2y,Opt_out,13.0,8.0,2.0,8.0,0.15384615384615385,1.0,0.003592276605298608,0.005023183925811438
Belief,R_1Id4GumjlIAeWAb,Opt_in,1.0,1.0,0.0,0.0,0.0,0.0,0.0003341129301703976,0.00037993920972644377
Belief,R_1Id4GumjlIAeWAb,Opt_out,19.0,19.0,0.0,17.0,0.0,0.8947368421052632,0.008531656937584195,0.007341576506955177
Belief,R_1IgsYdZYdIhNiC0,Opt_in,20.0,20.0,5.0,8.0,0.25,0.4,0.006682258603407952,0.007598784194528876
Belief,R_1IgsYdZYdIhNiC0,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1JX98KzaPOa9SOF,Opt_in,15.0,11.0,6.0,11.0,0.4,1.0,0.0036752422318743734,0.0056990881458966565
Belief,R_1JX98KzaPOa9SOF,Opt_out,5.0,9.0,3.0,3.0,0.6,0.3333333333333333,0.004041311180960934,0.0019319938176197836
Belief,R_1K2Yv17rl4Ictuh,Opt_in,20.0,20.0,1.0,8.0,0.05,0.4,0.006682258603407952,0.007598784194528876
Belief,R_1K2Yv17rl4Ictuh,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1Kx6nxwJ1l7TVNG,Opt_in,8.0,10.0,6.0,3.0,0.75,0.3,0.003341129301703976,0.00303951367781155
Belief,R_1Kx6nxwJ1l7TVNG,Opt_out,12.0,10.0,1.0,0.0,0.08333333333333333,0.0,0.00449034575662326,0.00463678516228748
Belief,R_1LHzJNBhIKuuKmo,Opt_in,0.0,1.0,0.0,1.0,,1.0,0.0003341129301703976,0.0
Belief,R_1LHzJNBhIKuuKmo,Opt_out,20.0,19.0,3.0,15.0,0.15,0.7894736842105263,0.008531656937584195,0.0077279752704791345
Belief,R_1MSMFB5CA5Ce8mF,Opt_in,2.0,0.0,1.0,0.0,0.5,,0.0,0.0007598784194528875
Belief,R_1MSMFB5CA5Ce8mF,Opt_out,18.0,20.0,4.0,15.0,0.2222222222222222,0.75,0.00898069151324652,0.006955177743431221
Belief,R_1OJnKIkCO2a23yf,Opt_in,0.0,1.0,0.0,0.0,,0.0,0.0003341129301703976,0.0
Belief,R_1OJnKIkCO2a23yf,Opt_out,20.0,19.0,0.0,11.0,0.0,0.5789473684210527,0.008531656937584195,0.0077279752704791345
Belief,R_1OVKBshRci7iKrf,Opt_in,4.0,11.0,0.0,8.0,0.0,0.7272727272727273,0.0036752422318743734,0.001519756838905775
Belief,R_1OVKBshRci7iKrf,Opt_out,16.0,9.0,0.0,7.0,0.0,0.7777777777777778,0.004041311180960934,0.0061823802163833074
Belief,R_1Olwl9jIwHz9cNt,Opt_in,20.0,20.0,20.0,20.0,1.0,1.0,0.006682258603407952,0.007598784194528876
Belief,R_1Olwl9jIwHz9cNt,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1P0nPSMB4dPX21J,Opt_in,2.0,0.0,0.0,0.0,0.0,,0.0,0.0007598784194528875
Belief,R_1P0nPSMB4dPX21J,Opt_out,18.0,20.0,2.0,10.0,0.1111111111111111,0.5,0.00898069151324652,0.006955177743431221
Belief,R_1PbflGIUqIOkMW4,Opt_in,9.0,20.0,0.0,7.0,0.0,0.35,0.006682258603407952,0.003419452887537994
Belief,R_1PbflGIUqIOkMW4,Opt_out,11.0,0.0,0.0,0.0,0.0,,0.0,0.004250386398763524
Belief,R_1QH2eXidar11uxO,Opt_in,20.0,20.0,16.0,16.0,0.8,0.8,0.006682258603407952,0.007598784194528876
Belief,R_1QH2eXidar11uxO,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1QxXnS15WKcsPWu,Opt_in,20.0,20.0,18.0,20.0,0.9,1.0,0.006682258603407952,0.007598784194528876
Belief,R_1QxXnS15WKcsPWu,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1cS7qk4P3kMREqq,Opt_in,1.0,16.0,0.0,10.0,0.0,0.625,0.0053458068827263614,0.00037993920972644377
Belief,R_1cS7qk4P3kMREqq,Opt_out,19.0,4.0,0.0,3.0,0.0,0.75,0.001796138302649304,0.007341576506955177
Belief,R_1dizzCypvSOxudP,Opt_in,3.0,4.0,0.0,0.0,0.0,0.0,0.0013364517206815904,0.0011398176291793312
Belief,R_1dizzCypvSOxudP,Opt_out,17.0,16.0,2.0,11.0,0.11764705882352941,0.6875,0.007184553210597216,0.006568778979907265
Belief,R_1dv1fW3DCTt6blV,Opt_in,12.0,14.0,0.0,10.0,0.0,0.7142857142857143,0.004677581022385567,0.004559270516717325
Belief,R_1dv1fW3DCTt6blV,Opt_out,8.0,6.0,0.0,5.0,0.0,0.8333333333333334,0.002694207453973956,0.0030911901081916537
Belief,R_1esHHNIz4M2mhKx,Opt_in,3.0,1.0,0.0,0.0,0.0,0.0,0.0003341129301703976,0.0011398176291793312
Belief,R_1esHHNIz4M2mhKx,Opt_out,17.0,19.0,0.0,11.0,0.0,0.5789473684210527,0.008531656937584195,0.006568778979907265
Belief,R_1exxCK75K38Vc7u,Opt_in,19.0,20.0,0.0,15.0,0.0,0.75,0.006682258603407952,0.007218844984802432
Belief,R_1exxCK75K38Vc7u,Opt_out,1.0,0.0,0.0,0.0,0.0,,0.0,0.0003863987635239567
Belief,R_1f6NoQw58pSbXfo,Opt_in,20.0,20.0,1.0,19.0,0.05,0.95,0.006682258603407952,0.007598784194528876
Belief,R_1f6NoQw58pSbXfo,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1g1mwobRwywJk1Z,Opt_in,0.0,1.0,0.0,1.0,,1.0,0.0003341129301703976,0.0
Belief,R_1g1mwobRwywJk1Z,Opt_out,20.0,19.0,4.0,13.0,0.2,0.6842105263157895,0.008531656937584195,0.0077279752704791345
Belief,R_1gpvYtprtdDpZ4g,Opt_in,20.0,20.0,6.0,16.0,0.3,0.8,0.006682258603407952,0.007598784194528876
Belief,R_1gpvYtprtdDpZ4g,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1hHkFpTUo103KLI,Opt_in,5.0,1.0,5.0,1.0,1.0,1.0,0.0003341129301703976,0.001899696048632219
Belief,R_1hHkFpTUo103KLI,Opt_out,15.0,19.0,14.0,19.0,0.9333333333333333,1.0,0.008531656937584195,0.005795981452859351
Belief,R_1hN2Le9gMwU1RPS,Opt_in,20.0,20.0,0.0,5.0,0.0,0.25,0.006682258603407952,0.007598784194528876
Belief,R_1hN2Le9gMwU1RPS,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1j8sjmYEAX7qtwu,Opt_in,4.0,16.0,0.0,8.0,0.0,0.5,0.0053458068827263614,0.001519756838905775
Belief,R_1j8sjmYEAX7qtwu,Opt_out,16.0,4.0,0.0,3.0,0.0,0.75,0.001796138302649304,0.0061823802163833074
Belief,R_1jK57tJiqWEQn6m,Opt_in,9.0,15.0,1.0,9.0,0.1111111111111111,0.6,0.005011693952555964,0.003419452887537994
Belief,R_1jK57tJiqWEQn6m,Opt_out,11.0,5.0,0.0,4.0,0.0,0.8,0.00224517287831163,0.004250386398763524
Belief,R_1ja1IgPAA1HHZhn,Opt_in,20.0,20.0,0.0,7.0,0.0,0.35,0.006682258603407952,0.007598784194528876
Belief,R_1ja1IgPAA1HHZhn,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1kId3MeJak1wnrZ,Opt_in,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1kId3MeJak1wnrZ,Opt_out,20.0,20.0,1.0,11.0,0.05,0.55,0.00898069151324652,0.0077279752704791345
Belief,R_1kU3WukdCPi95Pn,Opt_in,20.0,20.0,20.0,20.0,1.0,1.0,0.006682258603407952,0.007598784194528876
Belief,R_1kU3WukdCPi95Pn,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1kZen3pb0LfZMGf,Opt_in,6.0,11.0,0.0,6.0,0.0,0.5454545454545454,0.0036752422318743734,0.0022796352583586625
Belief,R_1kZen3pb0LfZMGf,Opt_out,14.0,9.0,0.0,9.0,0.0,1.0,0.004041311180960934,0.005409582689335394
Belief,R_1l49mYfWzKaNsA0,Opt_in,19.0,20.0,1.0,12.0,0.05263157894736842,0.6,0.006682258603407952,0.007218844984802432
Belief,R_1l49mYfWzKaNsA0,Opt_out,1.0,0.0,0.0,0.0,0.0,,0.0,0.0003863987635239567
Belief,R_1lxWm4jEaLNREwX,Opt_in,19.0,19.0,1.0,12.0,0.05263157894736842,0.631578947368421,0.006348145673237555,0.007218844984802432
Belief,R_1lxWm4jEaLNREwX,Opt_out,1.0,1.0,0.0,0.0,0.0,0.0,0.000449034575662326,0.0003863987635239567
Belief,R_1mIQAeLuenPj9oZ,Opt_in,11.0,18.0,2.0,12.0,0.18181818181818182,0.6666666666666666,0.006014032743067156,0.004179331306990881
Belief,R_1mIQAeLuenPj9oZ,Opt_out,9.0,2.0,0.0,1.0,0.0,0.5,0.000898069151324652,0.0034775888717156105
Belief,R_1mLBAKc7p9iSqqV,Opt_in,20.0,20.0,16.0,12.0,0.8,0.6,0.006682258603407952,0.007598784194528876
Belief,R_1mLBAKc7p9iSqqV,Opt_out,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1mgvIVpvc647Jk4,Opt_in,0.0,0.0,0.0,0.0,,,0.0,0.0
Belief,R_1mgvIVpvc647Jk4,Opt_out,20.0,20.0,0.0,5.0,0.0,0.25,0.00898069151324652,0.0077279752704791345
Belief,R_1n6CxllQaKIozvn,Opt_in,15.0,19.0,0.0,13.0,0.0,0.6842105263157895,0.006348145673237555,0.0056990881458966565
Belief,R_1n6CxllQaKIozvn,Opt_out,5.0,1.0,1.0,1.0,0.2,1.0,0.000449034575662326,0.0019319938176197836
Belief,R_1o6z5RDkWLBn3yq,Opt_in,20.0,19.0,17.0,12.0,0.85,0.631578947368421,0.006348145673237555,0.007598784194528876
Belief,R_1o6z5RDkWLBn3yq,Opt_out,0.0,1.0,0.0,1.0,,1.0,0.000449034575662326,0.0
Belief,R_1oBXK5NyraJSkVD,Opt_in,1.0,4.0,0.0,3.0,0.0,0.75,0.0013364517206815904,0.00037993920972644377
