Group,ResponseId,option_cond,num_True,num_False,num_yes_True,prop_yes_True,prop_yes_False,w_True,w_False,ano_true_false_unsure,num_yes_False
Belief,R_0Hrx74YI9V7oyxH,Opt_in,3.0,0.0,3.0,1.0,0.0,0.006787330316742082,,true,
Belief,R_0Hrx74YI9V7oyxH,Opt_out,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_0ceMY7BosF4yFEt,Opt_in,1.0,0.0,1.0,1.0,0.0,0.0022624434389140274,,true,
Belief,R_0ceMY7BosF4yFEt,Opt_out,2.0,0.0,2.0,1.0,0.0,0.005865102639296188,,true,
Belief,R_0p23xuWK8kfIOI1,Opt_in,2.0,0.0,1.0,0.5,0.0,0.004524886877828055,,true,
Belief,R_0p23xuWK8kfIOI1,Opt_out,1.0,0.0,1.0,1.0,0.0,0.002932551319648094,,true,
Belief,R_0vLoFjkLH0gaAsV,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_0vLoFjkLH0gaAsV,Opt_out,3.0,0.0,1.0,0.3333333333333333,0.0,0.008797653958944282,,true,
Belief,R_10pi4sTY23HIz4P,Opt_in,2.0,0.0,2.0,1.0,0.0,0.004524886877828055,,true,
Belief,R_10pi4sTY23HIz4P,Opt_out,1.0,0.0,1.0,1.0,0.0,0.002932551319648094,,true,
Belief,R_10u9xVH0Egx6755,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_10u9xVH0Egx6755,Opt_out,3.0,0.0,3.0,1.0,0.0,0.008797653958944282,,true,
Belief,R_125Zkk4hc65bqQR,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_125Zkk4hc65bqQR,Opt_out,3.0,0.0,3.0,1.0,0.0,0.008797653958944282,,true,
Belief,R_1CBIBuAje6hZpOK,Opt_in,3.0,0.0,1.0,0.3333333333333333,0.0,0.006787330316742082,,true,
Belief,R_1CBIBuAje6hZpOK,Opt_out,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1Ca7fGwfppPm8Cm,Opt_in,3.0,0.0,3.0,1.0,0.0,0.006787330316742082,,true,
Belief,R_1Ca7fGwfppPm8Cm,Opt_out,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1CvBpl1mMIgRe4m,Opt_in,3.0,0.0,3.0,1.0,0.0,0.006787330316742082,,true,
Belief,R_1CvBpl1mMIgRe4m,Opt_out,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1Dw350aE0wDstGV,Opt_in,1.0,0.0,0.0,0.0,0.0,0.0022624434389140274,,true,
Belief,R_1Dw350aE0wDstGV,Opt_out,2.0,0.0,0.0,0.0,0.0,0.005865102639296188,,true,
Belief,R_1E4KseAVFnrtiTL,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1E4KseAVFnrtiTL,Opt_out,3.0,0.0,3.0,1.0,0.0,0.008797653958944282,,true,
Belief,R_1E4NUVuXGs92kjs,Opt_in,3.0,0.0,2.0,0.6666666666666666,0.0,0.006787330316742082,,true,
Belief,R_1E4NUVuXGs92kjs,Opt_out,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1FL3s3C52glwreE,Opt_in,2.0,0.0,1.0,0.5,0.0,0.004524886877828055,,true,
Belief,R_1FL3s3C52glwreE,Opt_out,1.0,0.0,1.0,1.0,0.0,0.002932551319648094,,true,
Belief,R_1Fks3fj8fpk2xRu,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1Fks3fj8fpk2xRu,Opt_out,3.0,0.0,1.0,0.3333333333333333,0.0,0.008797653958944282,,true,
Belief,R_1GBt8nuywr6Il2y,Opt_in,2.0,0.0,2.0,1.0,0.0,0.004524886877828055,,true,
Belief,R_1GBt8nuywr6Il2y,Opt_out,1.0,0.0,1.0,1.0,0.0,0.002932551319648094,,true,
Belief,R_1Id4GumjlIAeWAb,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1Id4GumjlIAeWAb,Opt_out,3.0,0.0,3.0,1.0,0.0,0.008797653958944282,,true,
Belief,R_1IgsYdZYdIhNiC0,Opt_in,3.0,0.0,2.0,0.6666666666666666,0.0,0.006787330316742082,,true,
Belief,R_1IgsYdZYdIhNiC0,Opt_out,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1JX98KzaPOa9SOF,Opt_in,2.0,0.0,2.0,1.0,0.0,0.004524886877828055,,true,
Belief,R_1JX98KzaPOa9SOF,Opt_out,1.0,0.0,1.0,1.0,0.0,0.002932551319648094,,true,
Belief,R_1K2Yv17rl4Ictuh,Opt_in,3.0,0.0,1.0,0.3333333333333333,0.0,0.006787330316742082,,true,
Belief,R_1K2Yv17rl4Ictuh,Opt_out,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1Kx6nxwJ1l7TVNG,Opt_in,1.0,0.0,0.0,0.0,0.0,0.0022624434389140274,,true,
Belief,R_1Kx6nxwJ1l7TVNG,Opt_out,2.0,0.0,0.0,0.0,0.0,0.005865102639296188,,true,
Belief,R_1LHzJNBhIKuuKmo,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1LHzJNBhIKuuKmo,Opt_out,3.0,0.0,3.0,1.0,0.0,0.008797653958944282,,true,
Belief,R_1MSMFB5CA5Ce8mF,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1MSMFB5CA5Ce8mF,Opt_out,3.0,0.0,2.0,0.6666666666666666,0.0,0.008797653958944282,,true,
Belief,R_1OJnKIkCO2a23yf,Opt_in,0.0,0.0,0.0,,0.0,0.0,,true,
Belief,R_1OJnKIkCO2a23yf,Opt_out,3.0,0.0,2.0,0.6666666666666666,0.0,0.008797653958944282,,true,
